age,salary,purchased
58,48599,1
48,86942,1
34,60222,1
27,36837,0
40,39039,1
58,83148,1
38,55818,1
42,44115,1
30,88335,1
30,35965,0
43,49538,1
55,67530,1
59,30056,1
43,57482,1
22,72716,0
41,33110,1
21,38773,0
43,52266,1
49,77992,1
57,42412,1
21,81537,0
40,58270,1
52,31910,1
31,70453,1
41,50446,1
44,81090,1
46,78640,1
47,25206,1
35,46518,1
34,47361,1
22,81873,0
56,48419,1
26,75636,0
40,82010,1
28,73702,0
58,75015,1
37,76942,1
23,81560,0
44,66523,1
33,79268,1
28,70151,0
45,47403,1
21,43141,0
39,39820,1
47,65342,1
26,31374,0
27,81044,0
54,26678,1
33,77394,1
36,78788,1
55,58827,1
59,80820,1
23,87623,0
21,41198,0
25,34914,0
23,52890,0
48,77309,1
37,47299,1
45,68585,1
53,68689,1
29,89044,1
55,67557,1
33,74080,1
50,69020,1
34,27693,1
27,54467,0
33,54723,1
42,71699,1
59,28627,1
40,50939,1
35,73925,1
37,67941,1
43,46834,1
45,43047,1
44,51105,1
48,35230,1
34,40707,1
20,46976,0
44,69262,1
26,84581,0
28,48776,0
43,55080,1
20,87840,0
27,26306,0
43,86373,1
30,31776,0
36,52251,1
27,87412,0
54,80016,1
54,34474,1
52,65294,1
24,83053,0
58,46959,1
47,30530,1
26,54320,0
28,78565,0
27,28748,0
31,56968,1
53,57562,1
52,38545,1
